id_lieu;id_local;nom_lieu;ad_lieu;com_lieu;insee;type;date_maj;ouvert;source;Xlong;Ylat;nbre_pl;nbre_pmr;duree;horaires;proprio;lumiere;comm
2A004-C-001;;A Confina;Lieu-dit Stagnacciu (Croisement RT22 - RD31);AJACCIO;2A004;Supermarché;28/08/2019;True;539830349.0;8.783403;41.9523692;0.0;0.0;;24-juil;Prive;True;transport : Bus Muvistrada (2)
01024-C-001;;Mairie d'Attignat;Place De La Fontaine- Anciens Combattants;ATTIGNAT;1024;Parking;29/08/2019;True;200071751.0;5.158352778;46.28957222;5.0;;;;;;
01049-C-001;;Aire de covoiturage Montluel;La Boisse;LA BOISSE;1049;Aire de covoiturage;29/08/2019;True;240100610.0;5.048432;45.840543;100.0;;;;;;
01089-C-001;;Aire de covoiturage Château-Gaillard;Château-Gaillard;CHATEAU GAILLARD;1089;Sortie d'autoroute;29/08/2019;True;240100883.0;5.311396;45.977088;15.0;;;;;;
01093-C-001;;Parking Bel Air;Route De Neuville - Parking Bel Air;CHATILLON SUR CHALARONNE;1093;Parking;29/08/2019;True;200071751.0;4.964663889;46.12900556;10.0;;;;;;
01096-C-001;;Parking La Genetiere;Route De Bourg - La Genetiere;CHAVEYRIAT;1096;Parking;29/08/2019;True;200071751.0;5.073319444;46.17810278;5.0;;;;;;
01115-C-001;;Place du Logis Neuf;Place Du Logis Neuf;CONFRANCON;1115;Parking;29/08/2019;True;200071751.0;5.055497222;46.25655278;3.0;;;;;;
01151-C-001;;Place de L'Eglise;Route De Pont D'Ain - Monument Aux Morts;DRUILLAT;1151;Parking;29/08/2019;True;200071751.0;5.31775;46.05911111;1.0;;;;;;
01195-C-001;;Place Sans Souci;Place Sans Souci;JASSERON;1195;Parking;29/08/2019;True;200071751.0;5.3263;46.21393889;3.0;;;;;;
01196-C-001;;Parking Chemin de L'Ecole;Chemin De L'école;JAYAT;1196;Parking;29/08/2019;True;200071751.0;5.119902778;46.36907222;3.0;;;;;;
01236-C-001;;Place de L'Eglise;Place De L'église;MARSONNAS;1236;Parking;29/08/2019;True;200071751.0;5.071047222;46.34124722;2.0;;;;;;
01245-C-001;;Place de Bohas;D979 Place De Bohas;BOHAS MEYRIAT RIGNAT;1245;Parking;29/08/2019;True;200071751.0;5.388425;46.15994722;2.0;;;;;;
01248-C-001;;Aire de covoiturage du Mionnay;Mionnay;MIONNAY;1248;Sortie d'autoroute;29/08/2019;True;200069193.0;4.899796871;45.8831017;21.0;;;;;;
01266-C-001;;Place General de gaulle;Place Du Général De Gaulle;MONTREVEL EN BRESSE;1266;Parking;29/08/2019;True;200071751.0;5.125961111;46.33573333;5.0;;;;;;
01290-C-001;;Aire de covoiturage Pérouges;Pérouges;PEROUGES;1290;Sortie d'autoroute;29/08/2019;True;240100883.0;5.182171;45.860683;12.0;;;;;;
01301-C-001;;Parking du Stade;"Route Saint Martin Le Chétel ""Stade""";POLLIAT;1301;Parking;29/08/2019;True;200071751.0;5.126572;46.251132;8.0;;;;;;
01350-C-001;;Terrain de Boules - Chemin des Lyonniéres;Chemin Des Lyonniéres - Terrain De Boules;ST ETIENNE DU BOIS;1350;Parking;29/08/2019;True;200071751.0;5.289722222;46.28322222;5.0;;;;;;
01376-C-001;;Aire de covoiturage Saint-Maurice-De-Beynost;Saint-Maurice-De-Beynost;ST MAURICE DE BEYNOST;1376;Sortie d'autoroute;29/08/2019;True;240100800.0;4.989172;45.820935;80.0;;;;;;
01405-C-001;;Parking des Sports;D1083 - Parking Des Sports;SERVAS;1405;Parking;29/08/2019;True;200071751.0;5.163272222;46.13119722;3.0;;;;;;
01422-C-001;;Place de La Fontaine;Place De La Fontaine- Anciens Combattants;TOSSIAT;1422;Parking;29/08/2019;True;200071751.0;5.316269444;46.14157222;1.0;;;;;;
01426-C-001;;Parking du Stade;Stade De Sport;VAL REVERMONT;1426;Parking;29/08/2019;True;200071751.0;5.362436111;46.26710278;5.0;;;;;;
01429-C-001;;Mairie de Vandeins;Rue De La Mairie;VANDEINS;1429;Parking;29/08/2019;True;200071751.0;5.078811111;46.21584167;3.0;;;;;;
02157-C-001;;Péage Laon;Gare De Péage. Autoroute A26. 02000 Chambry;CHAMBRY;2157;Sortie d'autoroute;29/08/2019;True;220200026.0;3.663798596;49.60744757;;;;;;;
02163-C-001;;Super U Charly Sur Marne;Route De Pavant. 02310 Charly-Sur-Marne;CHARLY SUR MARNE;2163;Supermarché;29/08/2019;True;220200026.0;3.282443232;48.97251912;;;;;;;
02168-C-001;SANEF - 93651;Covoiturage SANEF Château-Thierry;A4 Sortie 20 La Planchette 02400 Bézu-Saint-Germain;CHATEAU THIERRY;2168;Sortie d'autoroute;02/06/2021;True;220200026.0;3.400251563;49.07858266;10.0;1.0;;24-juil;SANEF;False;
02209-C-001;;Mairie de ConDé En Brie;1 Rond-Point Du Cahot. 02330 ConDé-En-Brie;CONDE EN BRIE;2209;Aire de covoiturage;29/08/2019;True;220200026.0;3.555901022;49.00457585;;;;;;;
02239-C-001;;Parking écoquartier Crézancy;2 Rue De Paris. 02650 Crézancy;CREZANCY;2239;Aire de covoiturage;29/08/2019;True;220200026.0;3.513723672;49.04996586;;;;;;;
02305-C-001;;Super U Fére En Tardenois;Fére En Tardenois. 02130 Fére-En-Tardenois;FERE EN TARDENOIS;2305;Supermarché;29/08/2019;True;220200026.0;3.516296885;49.20296656;;;;;;;
02408-C-001;SANEF - 138846;Covoiturage SANEF Laon;A26 Sortie 13;LAON;2408;Sortie d'autoroute;02/06/2022;True;632050019.0;3.663693;49.606902;46.0;2.0;;24-juil;SANEF;False;Réalisé par Sanef, exploité par la CC de la Région de Château-Thierry
03031-C-001;;Aire de covoiturage de Bizeneuille;Lieudit Fragne;BIZENEUILLE;3031;Aire de covoiturage;29/08/2019;True;220300016.0;2.69891609;46.38681335;;;;;;;
03073-C-001;;Aire de Chemilly;Echangeur RCEA (N79);CHEMILLY;3073;Aire de covoiturage;29/08/2019;True;220300016.0;3.31629589;46.47358012;;;;;;;
03084-C-001;;Parking du Bourg;Place de la LIberté (face garage Renault);COSNE D ALLIER;3084;Parking;29/08/2019;True;220300016.0;2.83054592;46.47558623;3.0;;;;;;
03092-C-001;;Parking du Bourg;Le Bourg;CRESSANGES;3092;Parking;29/08/2019;True;220300016.0;3.16075256;46.44417676;4.0;;;;;;
03093-C-001;;Aire de covoiturage du Creuzier;Lieudit les Ancizes;CREUZIER LE NEUF;3093;Aire de covoiturage;29/08/2019;True;220300016.0;3.45437124;46.18481218;;;;;;;
03098-C-001;;Parking de La Verne;Parking de la Verne;DESERTINES;3098;Parking;29/08/2019;True;220300016.0;2.62639058;46.34439195;3.0;;;;;;
03101-C-001;;Stade;Parking du Stade;DOMERAT;3101;Parking;29/08/2019;True;220300016.0;2.54675315;46.35823287;50.0;;;;;;
03102-C-001;;Parking Thomassots;Les Thomassots;DOMPIERRE SUR BESBRE;3102;Parking;29/08/2019;True;220300016.0;3.68849384;46.51791574;6.0;;;;;;
03118-C-001;;Aire de covoiturage des Chillins;Les Chillins proximité echangeur A71-A719;GANNAT;3118;Aire de covoiturage;29/08/2019;True;220300016.0;3.13837825;46.10311391;20.0;;;;;;
03122-C-001;;Parking de La Mairie;Le Bourg;GIPCY;3122;Parking;29/08/2019;True;220300016.0;3.05378868;46.50258963;5.0;;;;;;
03132-C-001;;Place du Marché Couvert;Place du Marché Couvert;JALIGNY SUR BESBRE;3132;Parking;29/08/2019;True;220300016.0;3.59436117;46.37931377;5.0;;;;;;
03138-C-001;;Aire des Vérités;Bellevue;LAPALISSE;3138;Aire de covoiturage;29/08/2019;True;220300016.0;3.61326614;46.24541141;25.0;;;;;;
03183-C-001;;Place du Champ de Foire;Place du champ de foire;LE MONTET;3183;Parking;29/08/2019;True;220300016.0;3.0535136;46.40858365;5.0;;;;;;
03185-C-001;;Parking Saint-Jean;Route de Néris;MONTLUCON;3185;Parking;29/08/2019;True;220300016.0;2.6099707;46.32602626;5.0;;;;;;
03234-C-001;;Parking Salle Polyvalente;Salle Polyvalente. place de la Mairie;ST GERAND DE VAUX;3234;Parking;29/08/2019;True;220300016.0;3.40064274;46.38009454;6.0;;;;;;
03262-C-001;;Centre Aqualudique;Parking Centre Aqualudique;ST VICTOR;3262;Parking;29/08/2019;True;220300016.0;2.58529404;46.37863358;5.0;;;;;;
03291-C-001;;Parking Lieu-Dit L'Hermitage;Lieu dit l'Hermitage;TREZELLES;3291;Parking;29/08/2019;True;220300016.0;3.58485918;46.32831573;4.0;;;;;;
04001-C-001;;Place de La Mairie;5 Place de la Mairie. 04510 Aiglun;AIGLUN;4001;Parking;29/08/2019;True;220400014.0;6.144045;44.050758;;;;;;;
04019-C-001;;Parking Allée des Pins;4 Allée des Pins. 04400 Barcelonnette;BARCELONNETTE;4019;Parking;29/08/2019;True;220400014.0;6.635163;44.386475;;;;;;;
04022-C-001;;Parking du Cimetiére;Le Village. 04330 Barréme;BARREME;4022;Parking;29/08/2019;True;220400014.0;6.372135;43.955113;;;;;;;
04026-C-001;;Parking Parcelle 683 Sur La D951. Ancien Point Relais Information;Les Mouliniers. 05190 Bréziers;BELLAFFAIRE;4026;Parking;29/08/2019;True;220400014.0;6.184797;44.422655;;;;;;;
04031-C-001;;Place St Jean La Bégude. Bras D'Asse;1 Route de la Fontaine. 04270 Bras-d'Asse;BRAS D ASSE;4031;Parking;29/08/2019;True;220400014.0;6.13412;43.920125;;;;;;;
04036-C-001;;Parking de La Mairie;Le Brusquet - Village. 04420 Le Brusquet;LE BRUSQUET;4036;Parking;29/08/2019;True;220400014.0;6.313541;44.161969;;;;;;;
04067-C-001;;Parking du Passavour;La cabine du passavour. 04200 Curel;CUREL;4067;Parking;29/08/2019;True;220400014.0;5.672785;44.176217;;;;;;;
04070-C-001;;Parking Décathlon Route de Marseille;5 Route de Marseille. 04000 Digne-les-Bains;DIGNE LES BAINS;4070;Parking;29/08/2019;True;220400014.0;6.17887;44.069529;;;;;;;
04084-C-001;;Parking Entrée de Village;D907 à droite de l'entrée du village en arrivant de Mézel;ESTOUBLON;4084;Parking;29/08/2019;True;220400014.0;6.17125;43.943831;;;;;;;
04086-C-001;;Place de L'église;2 Le Village. 04400 Faucon-de-Barcelonnette;FAUCON DE BARCELONNETTE;4086;Parking;29/08/2019;True;220400014.0;6.678269;44.393746;;;;;;;
04104-C-001;;"Parking devant Le Camping ""Les Lauzons""";Les Bouires;LIMANS;4104;Parking;29/08/2019;True;220400014.0;5.733151;43.973047;;;;;;;
04110-C-001;;Parking de L'Esplanade Jean Moulin;4586 Avenue du Général de Gaulle. 04510 Mallemoisson;MALLEMOISSON;4110;Parking;29/08/2019;True;220400014.0;6.126217;44.041722;;;;;;;
04122-C-001;;Parking Au Carrefour des 4 Chemins;D117 & D17;MIRABEAU;4122;Parking;29/08/2019;True;220400014.0;6.10239;44.05902;;;;;;;
04174-C-001;;Parking du Croisement D460 et Rn202 (Au Passage à Niveau);D460. 04240 Saint-Benoét;ST BENOIT;4174;Parking;29/08/2019;True;220400014.0;6.724074;43.960158;;;;;;;
04217-C-001;;Parking du Quartier Les Bourres;19 Les Bourres. 04380 Thoard;THOARD;4217;Parking;29/08/2019;True;220400014.0;6.132315;44.136228;;;;;;;
04220-C-001;;Parking de La Poste;PLACE FERNAND GILLY. Lotissement le Clét. 04400 Les Thuiles;LES THUILES;4220;Parking;29/08/2019;True;220400014.0;6.572451;44.394026;;;;;;;
04222-C-001;;Parking du Stade;Avenue Paul Honnorat. 04250 Turriers;TURRIERS;4222;Parking;29/08/2019;True;220400014.0;6.170568;44.399939;;;;;;;
04226-C-001;;Parking de La Za des Chabrand;15 Traverse du Bachelard. 04400 Barcelonnette;UVERNET FOURS;4226;Parking;29/08/2019;True;220400014.0;6.627212;44.377922;;;;;;;
04230-C-001;;Parking de La Salle Polyvalente;6018 Pl. Frederic Mistral. 04210 Valensole;VALENSOLE;4230;Parking;29/08/2019;True;220400014.0;5.986746;43.836375;;;;;;;
04244-C-001;;Aire de Loisirs Mathieu Perona;33 La Coueste. 04290 Volonne;VOLONNE;4244;Parking;29/08/2019;True;220400014.0;6.009842;44.109882;;;;;;;
04245-C-001;;Aire de covoiturage de Volx;A51. 04130 Volx;VOLX;4245;Aire de covoiturage;29/08/2019;True;220400014.0;5.848225;43.842979;;;;;;;
06069-C-001;;Parc Relais Alambic;D9. 06130 Grasse;GRASSE;6069;Parking relais;29/08/2019;True;220600019.0;6.936138;43.641102;;;;;;;
06079-C-001;;Parc Relais La Canardiére;Zone Industrielle De La Canardiére. Avenue du Maréchal Lyautey. 06210 Mandelieu-la-Napoule;MANDELIEU LA NAPOULE;6079;Parking relais;29/08/2019;True;220600019.0;6.946097;43.553332;;;;;;;
06084-C-001;;Parc Relais Giratoire Pénétrante;600 Route de la Roquette. 06370 Mouans-Sartoux;MOUANS SARTOUX;6084;Parking relais;29/08/2019;True;220600019.0;6.967739;43.612562;;;;;;;
06161-C-001;;Parc Relais Les Plans;117 Avenue des Ferrayonnes. 06270 Villeneuve-Loubet;VILLENEUVE LOUBET;6161;Parking relais;29/08/2019;True;220600019.0;7.127547;43.652775;;;;;;;
07005-C-001;;Station de service Alba la Romaine;D263A. 07400 Alba-la-Romaine;ALBA LA ROMAINE;7005;Parking;29/08/2019;True;220700017.0;4.595806;44.56277;20.0;;;;;;
07009-C-001;;Station Essence Torrenson;10 Avenue de Beaucaire. 07340 Andance;ANDANCE;7009;Parking;29/08/2019;True;220700017.0;4.798276;45.23621;;;;;;;
07052-C-001;;Aire de covoiturage de Champis;3945 Route de Valence. 07440 Champis;CHAMPIS;7052;Aire de covoiturage;29/08/2019;True;220700017.0;4.765861;44.941659;;;;;;;
07060-C-001;;Portes du Pays de Crussol;41 Route Royale. 07240 Chéteauneuf-de-Vernoux;CHATEAUNEUF DE VERNOUX;7060;Parking;29/08/2019;True;220700017.0;4.642699;44.919568;10.0;;;;;;
07064-C-001;;Plaisance;5 Chemin d'Aurives. 07160 Le Cheylard;LE CHEYLARD;7064;Parking;29/08/2019;True;220700017.0;4.428552;44.911867;5.0;;;;;;
07069-C-001;;Parking Boucherie Valla;Le Village E. 07410 Colombier-le-Vieux;COLOMBIER LE VIEUX;7069;Parking;29/08/2019;True;220700017.0;4.695545;45.066191;;;;;;;
